about.com,
akamaized.net,
alexa.com,
alibaba.com,O
amazon.fr,
amazon.it,
asahi.com,O
asus.com,
bandcamp.com,O
bbc.co.uk,
bbc.com,O
bp3.blogger.com,
brandbucket.com,
businessinsider.com,
buzzfeed.com,
cnbc.com,
cnil.fr,
cointernet.com.co,O
debian.org,
depositfiles.com,
dot.tk,
draft.blogger.com,
drive.google.com,
dropbox.com,
dw.com,O
ea.com,
ebay.co.uk,
elmundo.es,O
elpais.com,O
en.wikipedia.org,
enable-javascript.com,O
etsy.com,
evernote.com,
fb.me,
feedburner.com,
files.wordpress.com,
finance.yahoo.com,
focus.de,O
francetvinfo.fr,O
guardian.co.uk,
harvard.edu,
hugedomains.com,
id.wikipedia.org,
imgur.com,
independent.co.uk,
instagram.com,
interia.pl,O
kakao.com,O
kompas.com,
last.fm,
latimes.com,
leparisien.fr,O
lg.com,
m.wikipedia.org,
mega.nz,
mozilla.com,
msn.com,
nature.com,
naver.com,
nba.com,
netflix.com,
netvibes.com,
networkadvertising.org,O
nhk.or.jp,O
nydailynews.com,O
ovh.com,
pcmag.com,O
photobucket.com,
pinterest.com,
play.google.com,
reuters.com,O
rfi.fr,
rtve.es,O
ru.wikipedia.org,
search.google.com,
sedo.com,
soratemplates.com,O
spiegel.de,O
spotify.com,
ssl-images-amazon.com,
telegram.me,
thoughtco.com,
time.com,
trustpilot.com,
twimg.com,
ucoz.ru,
upenn.edu,
usgs.gov,
usnews.com,O
video.google.com,
wa.me,
washington.edu,O
wikia.com,
wiley.com,
wired.com,O
www.gov.uk,
www.over-blog.com,
www.weebly.com,
youtube.com,
zoom.us,
